label,tweet
HS,rt @jokoanwar: visi misi anies adalah penilaian buruk orang lain. #debat2pilkadadki https:\/\/t.co\/ztbqwdudvg
HS,rt @teddygusnaidi: yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,rt @teddygusnaidi: pengen tau apa tanggapan @annisapohan dan @sbyudhoyono ... kalau @agusyudhoyono gak perlu ditanya ntar ngak nyambu\u2026 
HS,rt @teddygusnaidi: yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 
HS,rt @nci4ri: pasca #debat2pilkadadki kena batunya @agusyudhoyono dibentak kapolres jakarta selatan karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026
HS,rt @alfred_1217: @gunromli mgk sebaiknya @aniesbaswedan siap2 beli tiket pswt pulang ke kampung nenek moyangnya di a**b sana.. #debat2\u2026
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! teh hij... https:\/\/t.co\/fhfhaia7eh #debat2pilkadadki https:\/\/t.co\/mccrkxdxrt
HS,rt @teddygusnaidi: para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan... mbok ya kalau tugas boleh tapi realistis\u2026 
HS,pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja djarot: pak habibie mint... https:\/\/t.co\/kvdup0zil5 #debat2pilkadadki #imlek
HS,dan belum menemukan kualitas paslon 1 &amp
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/caootefbtp #debat2pilkadadki https:\/\/t.co\/9gzuwwrmdh
HS,#debat2pilkadadki @agusyudhoyono - agus mungkin kebykan nonton harry potter...dikit2 terbang mengapung. atau emang jago mimpi?nipu dosa lho!
HS,rt @erixputra: jadi pertanyaannya apa? dan ahok pun joged #debat2pilkadadki https:\/\/t.co\/ricyfbyogv
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/sygz43kogj #debat2pilkadadki https:\/\/t.co\/hcfvde9xys
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! lazio d... https:\/\/t.co\/ev6yotgpyh #debat2pilkadadki https:\/\/t.co\/dxkif3mjgx
HS,#debat2pilkadadki\nseorang mantan mentri pendidikan yg seharusnya santun dan bijak dalam berbicara malah selalu menyerang dan menjatuhkan
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/kuygh1fxem #debat2pilkadadki https:\/\/t.co\/kza1ov3via
HS,kosep menggeser tanpa menggusur. hellowww masuk akal gk ya?#debat2pilkadadki
HS,rt @mustafa_sy: pemilih awam pasti susah paham dg istilah2 asing yg berhamburan dr paslon 1 n 3. buknnya rakyat jd bahagia malah pusing #de\u2026
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/jlqgorul4i #debat2pilkadadki https:\/\/t.co\/9pbx9uotnx
HS,rt @sehan5: pk anis nyinggung kjp. rakyat jkt perlu tau nih. justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil. #debat2pil\u2026
HS,rt @teddygusnaidi: 28. kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026
HS,rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri dipuja2 knp gak dijelaskan? ngeles aja emg gak bisa\u2026 
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! tekuk t... https:\/\/t.co\/sr47kc8m1t #debat2pilkadadki https:\/\/t.co\/vgibwpasjo
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/45rk5yrqpu #debat2pilkadadki https:\/\/t.co\/df8xmejfi1
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/qxc5afu92a #debat2pilkadadki https:\/\/t.co\/siloahwe5h
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/5nh34zp1i1 #debat2pilkadadki https:\/\/t.co\/dzms8dmeyb
HS,#ogahpilihterdakwa = panik karena terdakwa makin kuat bakal kepilih lagi... wkwkwkwk #debat2pilkadadki #ahok2djarot
HS,wah pak @basuki_btp kurang tepat ini datanya.. #debat2pilkadadki https:\/\/t.co\/4vr1ef63xf
HS,rt @teddygusnaidi: 28. kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! spurs s... https:\/\/t.co\/cv6s0ocnbj #debat2pilkadadki https:\/\/t.co\/jmu1cahrjv
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/wwgtutty2m #debat2pilkadadki https:\/\/t.co\/qniuvvcjyy
HS,menonton debat cagub dki: agus masih berkhayal
HS,rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! perinta... https:\/\/t.co\/ey2gkwtibl #debat2pilkadadki https:\/\/t.co\/dowb81q2u2
HS,pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja hujan dan pasang laut di... https:\/\/t.co\/mkzkftugxg #debat2pilkadadki #imlek
HS,rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 
HS,rt @ichakeljombar: seorang dosen yang seharusnya dikagumi karena cerdas otaknya tapi seketika runtuh karena hobinya menjatuhkan orang lain\u2026
HS,rt @sehan5: pk anis nyinggung kjp. rakyat jkt perlu tau nih. justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil. #debat2pil\u2026
HS,rt @the_various: mengacungkan jari kebawah termasuk bagian dari rasis dan itu dilakukan paslon 1 menurut sy itu attitude yg kurang baik\u2026
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/zozxs5cbse #debat2pilkadadki https:\/\/t.co\/dcxmfkrh9k
HS,@enny_endah @jojobinjai kirain cm sy yg ngrasa. pas #debat2pilkadadki senyumnya sinis saat paslon 2 sdg bicara. mana brkacak pinggang pulak.
HS,rt @nci4ri: pasca #debat2pilkadadki kena batunya @agusyudhoyono dibentak kapolres jakarta selatan karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! liverpo... https:\/\/t.co\/d5pinwirqg #debat2pilkadadki https:\/\/t.co\/srqaqkplcm
HS,rt @suckersrod: dulu mengidolakan anies skrg jujur knapa anies jd karakter jahat?? ada yg ngerasa sama? apa cmn gw? #debat2pilkadadki
HS,rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri dipuja2 knp gak dijelaskan? ngeles aja emg gak bisa\u2026 
HS,rt @tweetparpol: ini harga per-berita wartawan yang dipelihara oleh pdip https:\/\/t.co\/e1s4uozeo7\n\n #debat2pilkadadki
HS,rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake data2 yg salah ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026
HS,rt @fredoriko_rival: paslon 1 = gak ngerti brarti nyerang \npaslon 2 = yg penting jakarta maju\npaslon 3 = yg penting banyak kata2.   mutiara\u2026
HS,belum jd gubernur saja kelakuan sdh norak @agusyudhoyono gus2 didebat ngomongin kemacetan tp lu sndri bikin macet https:\/\/t.co\/cuef0sxatu
HS,ya itulah mental baru sekelas danramil berlagak jenderal. https:\/\/t.co\/bcs1yeer3h
HS,rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung anggara\u2026
HS,rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,rt @stellakarunia: jangan pilih cagub yg dekat dgn sarang koruptor \ud83d\ude01#debat2pilkadadki https:\/\/t.co\/ttxy2oxi6p
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/vqfegyesdy #debat2pilkadadki https:\/\/t.co\/3vzzfki1f4
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,rakyat jakarta kok byk yg milih paslon 1 ya smp ada di urutan ke2 gitu.. pdhl msh naif &amp
HS,rt @istia_iis: @enny_endah @jojobinjai kirain cm sy yg ngrasa. pas #debat2pilkadadki senyumnya sinis saat paslon 2 sdg bicara. mana brkacak\u2026
HS,rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026
HS,rt @widino: #debat2pilkadadki skak mat untuk mpok silvi si mpok langsung acung ibu jempol ke bawah. duhh jaga etika mpok malu ditonton jut\u2026
HS,rt @drenattas: buruk attitude bu sylvi dengar jawaban pak ahok buat gestur jempol ke bawah. wow!  #debat2pilkadadki
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,rt @teddygusnaidi: 28. kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026
HS,rt @putrirosary: #debat2pilkadadki cara paslon 3 bertanya ke paslon 1 seperti sedang mengadu domba didepan jutaan pasang mata tanpa etika\u2026
HS,rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 
HS,"rt @hapsom: satu2nya statement agus yang saya setuju dan dimengerti \"" bertanya kepada paslon 1 untuk menyerang no. 2... hahahaha! #debat2\u2026"
HS,aduh gw mah malu di kata orang jkt goblok apa https:\/\/t.co\/te8nrgszzc
HS,rt @jokoanwar: waduh. beneran kayaknya data dari ibu susanti. #debat2pilkadadki https:\/\/t.co\/ak4mdqpx4o
HS,rt @jokoanwar: anies: \u201cnamanya sunda kelapa. tapi mana kelapanya?\u201d\n\n#debat2pilkadadki https:\/\/t.co\/cwy8xc9c4v
HS,rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026
HS,#debat2pilkadadki semakin terlihat no 2 tidak layak memimpin. ada yg sdg berselisih malah diketawain dan diadu pula..
HS,rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung anggara\u2026
HS,rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/ckwikzj8yr #debat2pilkadadki https:\/\/t.co\/egsrpxme9u
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/ww5gcbpco1 #debat2pilkadadki https:\/\/t.co\/85gavg2nqa
HS,rt @teddygusnaidi: 28. kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/bwjy3zh9il #debat2pilkadadki https:\/\/t.co\/r9qkrvxr8g
HS,rt @preettysintaa: paslon 1 : berangkat dari orang tua\npaslon2 : berangkat dari pengalaman\npaslon 3 : berangkat dari teori\n\n#debat2pilkadad\u2026
HS,nah sekarang saya bisa membayangkan koruptor dirangkul tikus berpesta rumah kumuh dilukis... untung cuma bayangan\u2026 https:\/\/t.co\/t7duiaxt9y
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,rt @nci4ri: pasca #debat2pilkadadki kena batunya @agusyudhoyono dibentak kapolres jakarta selatan karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026
HS,rt @teddygusnaidi: 28. kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026
HS,rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026
HS,rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri dipuja2 knp gak dijelaskan? ngeles aja emg gak bisa\u2026 
HS,#debat2pilkadadki gw bisa bayangin demo sepanjang tahun dgn kerugian materil-non materil jika no.2 msh nongol di dki. negara tdk kondusif
HS,rt @nci4ri: pasca #debat2pilkadadki kena batunya @agusyudhoyono dibentak kapolres jakarta selatan karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026
HS,rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri dipuja2 knp gak dijelaskan? ngeles aja emg gak bisa\u2026 
HS,rt @teddygusnaidi: 28. kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/5wp4mmnegt #debat2pilkadadki https:\/\/t.co\/tfgiwg0nm0
HS,"rt @asep_edwan_dvs: \""@su_bedjo: #debat2pilkadadki pak anies nyerang paslon 2 pakek data tapi ternyata datanya hoax \ufffd\ufffd\u270c https:\/\/t.co\/pvmhf8\u2026"
HS,"rt @mommytsalisa: highlight tonite\n\nbu silvi : \""bla bla \ud83d\udca6\u2728\ud83d\udca5\""\npak anies : \""terus pertanyaannya apa?\nbu silvi : (dasar cowo gak peka)\n\n #deba\u2026"
HS,rt @savetodeclare: mau tipu public ya pak? @aniesbaswedan ckckck\nkatanya harus jadi teladan https:\/\/t.co\/k2ap6eyfjr
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026
HS,rt @hit_dx: di #debat2pilkadadki ini pak anies berbohong dan tidak pakai data
HS,rt @maulabm: #debat2pilkadadki kali ini pak anies nyebelin dari yang lalu bicaranya kaya ulama' sekarang keliatan jadi politikus yang hau\u2026
HS,rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri dipuja2 knp gak dijelaskan? ngeles aja emg gak bisa\u2026 
HS,anggota kerabat disebut keluarga... \/ jakarta berdebat direbut naga2... #debat2pilkadadki
HS,rt @jokoanwar: visi misi anies adalah penilaian buruk orang lain. #debat2pilkadadki https:\/\/t.co\/ztbqwdudvg
HS,rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 
HS,pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja kesan pasangan calon usa... https:\/\/t.co\/lm2bkddjtx #debat2pilkadadki #imlek
HS,rt @laksmonohp: @susilobyudoyono \n@agusyudhoyono \nmemalukan!! memuakkan!!\nt'lps anda cagub tpi prilaku anda tak pantas sbg anak ex\u2026 
HS,rt @unyilnerazuri: #debat2pilkadadki bingung https:\/\/t.co\/esf2n6bida
HS,rt @suaraanies: ahok salah data di #debat2pilkadadki peringkat kemdikbud ternyata bukan 22 #aniessandiokoce https:\/\/t.co\/d6vrj0tnbi
HS,rt @sehan5: pk anis nyinggung kjp. rakyat jkt perlu tau nih. justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil. #debat2pil\u2026
HS,rt @sosialisri: itulah tipuan &amp
HS,rt @batack_overkill: #debat2pilkadadki paslon 3 : akan menaikkan gaji guru paud jika terpilih. waktu jadi mendikbud ente ngapain bray? tidu\u2026
HS,#debat2pilkadadki  tiap debat isinya  .\n kami akan  akan akan  akan akan  .akan .. pilih yg sudah
HS,@mohamadhalimi6 ogah pilih koruptor masjid #debat2pilkadadk
HS,rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026
HS,rt @sosialisri: itulah tipuan &amp
HS,wong debat serius kok malah digawe meme. uripmu kakean guyon ndes ! situ sehat ? #debat2pilkadadki
HS,rt @misteeerius: tetep nggak ada solusinya. https:\/\/t.co\/ftguv0uksy
HS,rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026
HS,#debat2pilkadadki #ogahpilihterdakwa maling bansosmaling dana pembangunan masjid pa lagi anak maling uang negara https:\/\/t.co\/5psczyfepo
HS,rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 
HS,rt @erixputra: jadi pertanyaannya apa? dan ahok pun joged #debat2pilkadadki https:\/\/t.co\/ricyfbyogv
HS,rt @agungwidrajat: #debat2pilkadadki #ogahpilihterdakwa maling bansosmaling dana pembangunan masjid pa lagi anak maling uang negara https:\u2026
HS,rt @the_various: mengacungkan jari kebawah termasuk bagian dari rasis dan itu dilakukan paslon 1 menurut sy itu attitude yg kurang baik\u2026
HS,rt @nci4ri: pasca #debat2pilkadadki kena batunya @agusyudhoyono dibentak kapolres jakarta selatan karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026
HS,rt @iqlimas: strategi terkonyol dalam sejarah acara debat sangat tidak intelek dan memalukan #debat2pilkadadki  https:\/\/t.co\/at6gnwtus6
HS,rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 
HS,rt @batack_overkill: #debat2pilkadadki paslon 3 : akan menaikkan gaji guru paud jika terpilih. waktu jadi mendikbud ente ngapain bray? tidu\u2026
HS,"cuma ngasih tau\""ini lho contekanya ketuker daftar belanjaan\"" #debat2pilkadadki #debatcagubdki  https:\/\/t.co\/5ifu6h8gjw"
HS,rt @rifqiemerah: @mohamadhalimi6 ogah pilih koruptor masjid #debat2pilkadadki
